id,reading_levels,primary_student_language,primary_household_language,after_school,after_school_external
61953071,Partially_Meeting,english,english,f,
94539742,,english,english,f,
43022978,Partially_Meeting,spanish,spanish,f,
621693361,,english,spanish,f,
24265284,Partially_Meeting,english,spanish,f,
89140211,Partially_Meeting,english,english,f,
89156041,Not_Meeting,,english,f,
34884237,Not_Meeting,,english,f,
56260478,Partially_Meeting,spanish,english,f,
992745683,,spanish,english,f,
14213930,,english,english,f,
424343540,,english,english,f,
83965327,,english,spanish,f,
68872945,,english,english,f,
37271452,,english,english,f,
55165820,Not_Meeting,english,english,f,
56921103,Partially_Meeting,spanish,english,f,
106156157,,english,english,f,Discovery
83158491,Exceeding,,english,f,
415090506,,english,english,t,YMCA Greenleaf
28610970,Partially_Meeting,spanish,english,t,Discovery
86065980,Meeting,spanish,english,t,YWCA
12089176,Not_Meeting,english,english,f,
368518506,,spanish,english,f,
52904589,Partially_Meeting,english,spanish,f,
76213643,,english,english,f,
79616605,Not_Meeting,spanish,english,f,
69473221,Meeting,english,english,f,
99783457,,english,english,f,
54563999,Not_Meeting,english,english,f,
5476665,,,english,f,
897114322,,,english,t,
58372373,Exceeding,spanish,english,f,
91522857,,english,english,f,
853759093,,spanish,english,f,
44549833,Not_Meeting,english,english,f,
688150398,,english,english,f,
63104728,,english,english,f,
92331606,,english,english,f,
15980620,,english,spanish,f,
61398059,Not_Meeting,spanish,english,f,
31986847,,english,spanish,f,
65346685,,,english,f,
31762945,Partially_Meeting,english,english,f,
65985684,,english,spanish,f,
93997281,Not_Meeting,english,english,f,
48857534,Meeting,english,english,f,
99078178,,spanish,english,f,
13958118,Meeting,english,english,f,
28492852,Meeting,english,english,t,Discovery
83032335,,english,english,f,
36765390,Exceeding,,english,f,
32025282,Not_Meeting,english,english,f,
20067753,Not_Meeting,english,english,f,
34534667,Partially_Meeting,english,english,f,
17980864,Meeting,english,spanish,f,
55860051,Not_Meeting,spanish,english,f,
564559149,,english,spanish,f,
84528532,Exceeding,spanish,spanish,f,
9245116,Not_Meeting,english,english,f,
12660119,,english,english,t,
42860549,,,english,f,
4896198,Meeting,spanish,english,f,
75556571,,english,english,f,
312206197,,english,english,f,
15842879,Not_Meeting,spanish,english,f,
92764331,Not_Meeting,english,spanish,f,
65898850,Meeting,english,english,f,
672050414,,spanish,english,f,
118000795,,english,,f,Discovery
15212530,Partially_Meeting,,english,f,
16734135,,,english,f,
77204566,,english,english,f,
157183326,,english,english,t,Discovery
48702191,Partially_Meeting,english,english,f,
76250957,Not_Meeting,english,english,f,
3866163,Partially_Meeting,english,english,f,
51136375,Not_Meeting,english,english,f,
33491478,Meeting,english,english,f,
959576241,,,english,f,Discovery
457037464,,spanish,english,f,Discovery
22807458,,english,english,f,
51988294,Partially_Meeting,spanish,english,f,
51636633,Meeting,english,english,t,Little Sprouts
49195108,,english,spanish,f,
2964123,,,english,f,
5899332,Not_Meeting,,english,f,
23355640,Not_Meeting,english,english,f,
845756690,,english,english,t,
74354748,Meeting,english,english,t,Boys & Girls Club
569740152,,english,english,t,Discovery
61024425,,english,english,f,
54623648,Meeting,english,english,t,Cedardale
960376788,,spanish,english,f,Boys & Girls Club
56424284,Meeting,english,spanish,f,
814299087,,spanish,english,f,
78210322,,spanish,english,f,
50850098,Meeting,english,english,f,
224169647,,spanish,spanish,f,
81501733,Exceeding,english,english,f,
62136054,Not_Meeting,english,english,f,
95692846,,english,english,f,
864488940,,english,spanish,t,
4983475,Not_Meeting,english,english,f,
66722411,Partially_Meeting,spanish,english,f,
78858639,Exceeding,english,spanish,f,
282761226,,english,english,t,
61817218,Not_Meeting,english,english,f,
79706814,Meeting,spanish,english,t,Discovery
51230908,,english,english,f,
71441615,Not_Meeting,spanish,english,f,
72424245,,spanish,english,f,
80135707,Not_Meeting,english,english,f,
495971320,,english,english,f,Boys & Girls Club
15097274,,,english,f,
55675687,Partially_Meeting,english,english,f,
82671803,Meeting,english,english,f,
72340367,,english,,f,
99048592,,english,english,f,
62530119,Meeting,english,english,f,
85143686,Not_Meeting,english,english,f,
49660122,,english,spanish,f,
205729,Not_Meeting,english,english,f,
49725782,Not_Meeting,english,english,f,
34277979,,english,english,f,
81785617,Partially_Meeting,english,english,f,
45796532,Meeting,english,english,f,
29435284,,spanish,english,f,
963521491,,english,english,f,
21146994,Partially_Meeting,spanish,spanish,f,
14398649,Partially_Meeting,,english,f,
963311988,,english,spanish,f,
94511089,Partially_Meeting,english,english,f,
388781411,,spanish,english,t,YMCA Greenleaf
17528728,,english,english,f,
41860616,Partially_Meeting,english,english,f,
82001808,Partially_Meeting,english,english,f,
59481204,,english,english,f,
789003009,,english,english,f,
105532696,,spanish,english,f,
55283307,Partially_Meeting,spanish,english,f,
32756803,Meeting,english,english,f,
8730411,Exceeding,spanish,spanish,f,
1014368,Not_Meeting,english,english,f,
6908909,,spanish,english,f,
224324554,,english,english,f,
93453259,Meeting,spanish,english,f,
72621309,Not_Meeting,english,english,f,
579533732,,english,english,f,Discovery
77522436,Meeting,english,english,t,YMCA
393271570,,english,english,t,
20642437,,english,english,f,
23633252,Not_Meeting,english,english,t,Boys & Girls Club
42511010,Meeting,,english,f,
224292900,,english,english,f,
87117339,,english,english,f,
8043439,Not_Meeting,english,english,t,YMCA Pentucket Lake
43995034,Partially_Meeting,english,english,f,
85667025,Partially_Meeting,,english,f,
30354179,,english,english,f,
82948913,Partially_Meeting,spanish,english,f,
56088134,Not_Meeting,english,english,f,
62342030,Partially_Meeting,english,english,t,YWCA
928507670,,,spanish,t,
48104166,Not_Meeting,english,english,f,
27108279,Not_Meeting,english,spanish,f,
52483528,Not_Meeting,english,english,f,
512771909,,english,english,t,
32579989,Meeting,spanish,english,f,
71757988,Partially_Meeting,spanish,spanish,f,
16753511,,english,english,f,
346251170,,english,english,f,
10343274,Partially_Meeting,english,english,f,
86892284,Meeting,spanish,english,f,
62792356,Exceeding,english,english,t,YMCA
616816187,,english,spanish,f,
71280408,,english,spanish,f,
31840963,,english,english,f,
733373241,,,english,t,
89043083,Partially_Meeting,english,english,f,
29628205,,english,english,f,
50221190,,english,spanish,f,
432451,,english,english,f,
87901916,,spanish,english,f,
65025346,,spanish,english,f,
68747371,,english,english,f,
48785073,,english,english,f,
84833485,,spanish,english,f,
86748343,Not_Meeting,english,english,t,Youth Empowerment
37977692,Partially_Meeting,english,english,t,Discovery
1920489,Meeting,spanish,english,f,
702134912,,english,english,f,Discovery
40648222,Not_Meeting,english,spanish,f,
830111316,,spanish,spanish,f,Discovery
98051514,,spanish,english,f,
52564611,Not_Meeting,english,english,f,
43970497,Meeting,english,english,f,
27321405,,spanish,english,f,
28154549,Meeting,spanish,english,f,
3693262,Not_Meeting,,english,f,
764238337,,english,english,t,
71091999,,english,english,f,
86732241,Meeting,english,english,f,
68546164,,english,english,f,
532557039,,english,english,f,Discovery
491315606,,english,spanish,f,Discovery
723933729,,,english,t,
16279564,,english,english,f,
73289211,,english,english,f,
45718466,,,spanish,f,
53747895,Meeting,english,english,f,
88627041,,english,english,f,
23052117,Not_Meeting,,spanish,f,
731448748,,english,english,t,
29109244,,english,english,f,
67688096,Meeting,english,english,f,
13175068,,english,english,f,
95613338,Not_Meeting,spanish,spanish,f,
84605405,,spanish,english,f,
57142097,,english,english,f,
68523422,Partially_Meeting,english,english,f,
26385724,,,english,f,
79918183,Partially_Meeting,english,english,f,
47976501,Not_Meeting,spanish,english,t,Discovery
41611546,Not_Meeting,english,english,f,
50273086,Partially_Meeting,spanish,spanish,t,Boys & Girls Club
45989839,Not_Meeting,english,english,f,
684670509,,english,,f,Cedardale
43902503,,english,english,f,
82448086,Not_Meeting,english,english,f,
572256385,,,english,f,Discovery
76203832,Partially_Meeting,english,spanish,f,
36681118,Partially_Meeting,english,english,f,
16459801,Partially_Meeting,english,english,f,
21463328,,english,english,f,
5375945,Meeting,english,english,f,
54019879,Partially_Meeting,english,english,f,
63761245,Not_Meeting,spanish,spanish,t,Discovery
86420338,Meeting,english,english,t,Discovery
77973861,Not_Meeting,english,english,f,
82798054,,spanish,spanish,f,
8071920,Exceeding,english,spanish,f,
3112567,,english,spanish,f,
32085884,Not_Meeting,spanish,english,f,
13052587,Not_Meeting,english,english,f,
68999777,Partially_Meeting,,english,t,Discovery
20915776,,english,english,f,
585057218,,english,english,t,
3998218,Partially_Meeting,english,english,f,
27444364,,spanish,english,f,
17510749,,spanish,english,f,
43731576,Partially_Meeting,english,english,f,
94794897,,english,english,f,
188182267,,english,english,f,
25442515,Partially_Meeting,spanish,english,f,
863118202,,,,f,
578019731,,english,english,f,
29471968,Partially_Meeting,english,english,t,Boys & Girls Club
82356080,Meeting,english,english,f,
33318849,Meeting,,english,f,
75769646,Exceeding,english,english,t,Discovery
102697218,,english,,t,Discovery
55520220,Meeting,english,english,f,
52145701,,english,english,f,
498916421,,english,,f,
43407420,,,english,f,
967662281,,english,english,f,
542460412,,english,english,f,
72814794,,english,english,f,
516203363,,english,english,f,
993201543,,english,spanish,f,
38903741,,english,english,f,
28201082,,english,spanish,f,
58530792,,english,english,f,
833764025,,english,english,f,Little Sprouts
386435574,,english,english,f,YWCA
36340532,Exceeding,,english,f,
2875990,Not_Meeting,,english,f,
99362596,Not_Meeting,english,english,f,
70004973,Partially_Meeting,english,english,f,
161795767,,english,english,f,
919694114,,english,spanish,t,
29344082,Not_Meeting,english,english,t,YMCA
24255086,,english,english,f,YMCA
72680060,Meeting,english,english,f,
879329604,,english,english,f,
86173221,,spanish,spanish,t,Youth Empowerment
21237534,,english,spanish,f,
67730555,Partially_Meeting,english,english,f,
80250966,Partially_Meeting,english,english,f,
20051904,Not_Meeting,english,english,f,
80703984,Partially_Meeting,english,english,f,
68414539,,,spanish,f,
55940123,,,english,t,Discovery
68221302,Meeting,english,english,f,
57511864,Exceeding,english,english,f,
16787333,Not_Meeting,english,english,f,
3716899,Partially_Meeting,english,english,f,
9458042,Meeting,english,english,f,
258949402,,english,,f,
253415425,,english,english,f,
29233064,Meeting,spanish,english,t,Discovery
20969034,,english,spanish,f,
52696936,Partially_Meeting,spanish,spanish,f,
29823418,Meeting,english,english,f,
37881242,Partially_Meeting,spanish,english,f,
159710652,,english,spanish,t,
1082152,Not_Meeting,english,spanish,t,Discovery
49053012,Meeting,english,english,f,
38684928,Exceeding,spanish,english,f,
991568378,,english,spanish,f,
49271220,Not_Meeting,english,english,t,Discovery
27886979,,english,english,f,
396740801,,english,english,f,
11186920,Exceeding,,english,f,
24715919,,spanish,english,f,
926305526,,english,english,f,
30563227,Meeting,english,english,f,
694400375,,english,spanish,f,Discovery
17356772,Meeting,spanish,english,f,
72277930,,english,english,f,
513828724,,english,spanish,f,YMCA Greenleaf
84930296,Exceeding,english,english,f,
23230485,Partially_Meeting,english,english,f,
47080115,Not_Meeting,english,english,t,YMCA
7416099,Partially_Meeting,english,english,f,
559037922,,,english,t,Boys & Girls Club
541869340,,english,english,f,Boys & Girls Club
30092867,Partially_Meeting,english,english,f,
52133750,Meeting,spanish,spanish,f,
42637808,,english,english,f,
89971110,,english,english,f,
42028042,,spanish,english,f,
678120690,,english,english,t,
69969058,Not_Meeting,spanish,english,f,
63145634,Not_Meeting,english,english,f,
2792303,,english,english,f,
26498641,Not_Meeting,spanish,english,f,
67666420,,english,english,t,YMCA Pentucket Lake
28749739,Not_Meeting,english,english,f,
40919469,Partially_Meeting,english,english,f,
363619198,,english,english,t,
19951875,Meeting,spanish,english,f,
19332160,Meeting,,english,f,
62760614,Exceeding,english,english,f,
28159990,Not_Meeting,english,english,f,
91577918,Partially_Meeting,spanish,english,f,
88304922,Exceeding,english,spanish,f,
82746416,,english,english,f,
22317367,Partially_Meeting,english,english,f,
84538135,Partially_Meeting,spanish,english,f,
77755461,Partially_Meeting,english,english,f,
25732914,,spanish,english,f,
29719171,,english,english,f,
